レース名,レース番号,レース種別,総周回数,日付,順位,コースID,プレイヤー名,チーム名,車両名,総合タイム,完走フラグ,ラップタイム詳細
"第4レース","4","","5","2025-07-27T05:57:05.681Z","2","1","MACHICOCO","","","02:18.14","未完走","1|00:23.54;2|00:26.36;3|00:46.89;4|00:11.10"
"第4レース","4","","5","2025-07-27T05:57:05.681Z","3","2","FACTAS","","","02:18.14","未完走","1|01:04.41;2|00:20.69;3|00:29.13"
"第4レース","4","","5","2025-07-27T05:57:05.681Z","4","3","京都芸術大学①","","","02:18.14","未完走","1|00:20.60;2|00:36.93"
"第5レース","5","","5","2025-07-27T06:07:52.835Z","1","3","ドンゴロスプロジェクト","","","02:08.90","完走","1|00:38.18;2|00:26.52;3|00:17.42;4|00:18.72;5|00:28.05"
"第5レース","5","","5","2025-07-27T06:07:52.835Z","2","1","三輪鉱油","","","02:31.28","未完走","1|00:25.88;2|00:28.89;3|00:13.65;4|00:23.34"
"第5レース","5","","5","2025-07-27T06:07:52.835Z","3","2","大阪工業大学","","OIT-R V2","02:31.28","未完走","1|00:17.24;2|00:25.20;3|00:22.62"
"第5レース","5","","5","2025-07-27T06:07:52.835Z","4","4","ヤマナカゴーキン","","","02:31.28","未完走","1|00:16.10;2|00:13.44;3|00:24.54"
"第6レース","6","","5","2025-07-27T06:24:44.085Z","1","1","東京科学大学","","","03:07.40","完走","1|00:33.04;2|00:30.27;3|00:40.11;4|00:19.80;5|01:04.17"
"第6レース","6","","5","2025-07-27T06:24:44.085Z","2","2","星翔高等学校","","アキとリク","03:28.61","未完走","1|00:07.36;2|01:55.05;3|00:22.05;4|00:29.76"
"第6レース","6","","5","2025-07-27T06:24:44.085Z","3","3","京都芸術大学②","","","03:28.61","未完走",""
"第6レース","6","","5","2025-07-27T06:24:44.085Z","4","4","福井大学","","","03:28.61","未完走",""
"第7レース","7","","5","2025-07-27T06:35:03.687Z","1","2","川重テクノロジー","","","02:01.21","完走","1|00:54.85;2|00:16.23;3|00:14.70;4|00:23.07;5|00:12.36"
"第7レース","7","","5","2025-07-27T06:35:03.687Z","2","3","星翔高等学校","","匠くん","02:24.16","未完走","1|01:04.39;2|00:22.44;3|00:21.24;4|00:28.05"
"第7レース","7","","5","2025-07-27T06:35:03.687Z","3","4","大阪工業大学","","彩建レインボー","02:24.16","未完走","1|00:28.36"
"第8レース","8","","5","2025-07-27T06:42:57.043Z","1","2","FACTORY KURA","","","02:11.32","完走","1|00:45.79;2|00:19.17;3|00:29.18;4|00:20.40;5|00:16.77"
"第8レース","8","","5","2025-07-27T06:42:57.043Z","2","4","岩田精工","","","02:39.46","未完走","1|00:25.84;2|00:52.65;3|00:23.10;4|00:37.43"
